Author,Published At,Comment,Likes
@fendiepablo7825,2025-03-27T19:18:25Z,"Willi mengutamakan gengsi, kebohongan adalah jalan ninjanya 😂",0
@Callofdutymobile-jg9zh,2025-03-27T19:17:36Z,kenapasih masak rendang apinya kecil banget..? ya biar di saat rebutan ga melepuh kena kuah..😅😅<br>merencanakan ke gagalan dong..,0
@jubairakbar2786,2025-03-27T19:17:25Z,"<a href=""https://www.youtube.com/watch?v=ygcodv_xrUE&amp;t=2735"">45:35</a>",0
@DadangSugianto-v6q,2025-03-27T19:17:13Z,Konten2 yg berbau kebaikan tapi bikin emosi dan gadus sialan😂😂😂,0
@BasSuki-w6l,2025-03-27T19:16:51Z,Mentei giv away😂😂😂  anjayy,0
@bagsholikhun5202,2025-03-27T19:16:50Z,Lumayan konten gratis  😂😂,0
@Nana_Sunarya,2025-03-27T19:16:11Z,"gw ga nyangka lu sedewasa itu, Bon.. 👏",0
@kisahanakedukasikasi8610,2025-03-27T19:13:12Z,"Ungkapkan fakta sebenarnya. Yg salah harus duhukum. Penegak hukum harus netral &amp; tegas. Jika ini terbukti benar maka akan terkena UU IT &amp; pasal pencemaran nama baik, &amp; SARA.",1
@radenjevic1510,2025-03-27T19:12:40Z,Berbohonglah sampai menutupi kebohongan kamu yang lain,0
@NdiTiaz,2025-03-27T19:12:15Z,"Toilet nya jauh? Eh bocil lu kebelet pipis/bab, apa lu ke toilet mau rapihin rambut / make up ngga kan kok bisa &quot; Bisa &quot; Nya makan dulu di mobil ke toilet nya ntar aja, kok bisa apa ga jadi penyaki, aduh logika nya dimana coba, rasanya pengen saya cubit itu mulutt 🤣🤣🤣",0
@WahyuHidayat-ec9vy,2025-03-27T19:10:54Z,Lu mawakili perasaan gua selama ini bang...mantap gua dari awal muncul ws gak suka bngat sama tingkahnya klo di konten...kita sehati bang mabok heula mabok heula😅😅,0
@afriyanto1384,2025-03-27T19:09:45Z,Tolak ruutni!,0
@AfifTrofianto-n5y,2025-03-27T19:09:39Z,Bukannya ada yang jagain daging nya?ko bisa ilang?gimmick,0
@Ryzaa7,2025-03-27T19:08:22Z,Wili wili mau sampe kapan 😅,0
@aryacaneza6712,2025-03-27T19:08:13Z,"Ws manipulatif banget, ketawan bngt sih ws cuma mikirin keuntungan pribadi ..",0
@JonggolJonggol-w9c,2025-03-27T19:06:44Z,Sadar ga si bobon Santoso <br>Sama konten Willie Salim yang kek gini?,0
@adisukmawijaya9977,2025-03-27T19:06:13Z,"om ded kayaknya kamera yg nyorot ke om dedi kurang kontras atau yg ke bang bobon terlalu kontras, tipis sih bedanya. trus suaranya mungkin bassnya dikurangin dikit ,. saran aja sih om 🙏",0
@derymarli9733,2025-03-27T19:05:51Z,"Kata kata willy salim itu mau jebak si bobon, katanya kalau kak bobon ga suka sama konten masak aq aq ga akan masak lagi, kalau bobon jwb ia aq ga suka lu konten masak kata dedy Cobozer tadi bobon bunuh diri hancur karrie nya, bahaya bener itu mulut willy selow tapi hancurkan orang pelan pelan 😂",2
@AbidzarRahman18,2025-03-27T19:05:30Z,kalo menurut saya pribadi sih willie emank niru ko bobon santoso buat manas manasin ko bobon aja dih,0
@dedee25,2025-03-27T19:04:34Z,Tombol wong Palembang 🙌🏻,0
@riankinoy1299,2025-03-27T19:04:25Z,Unfollow aja Willy Salim teman&quot; percuma lu follow tapi gk dapat ap&quot; yg ada di janjikan hadiah tapi tah kapan di beri,0
@ronipardila1579,2025-03-27T19:03:41Z,Bobon the best pokona mah xtc keun ko bobon,0
@riankinoy1299,2025-03-27T19:02:12Z,"Sumpah gw jijik bngt sama Willy serius,,, karena apa semua konten dia itu settingan asli settingan",0
@rezamuhammad5635,2025-03-27T19:01:17Z,"lah om juga ini mencari keuntungan kan dari masalah willy, udahlah jangan sok baik dan peduli om.",0
@irvandamustofaarif,2025-03-27T18:58:42Z,"Izinnya ke toilet gara gara kebelet BAK atau BAB, tapi malah ke mobil bilang lagi kalau makan istirahat karena udah gak istirahat lama. LAHHHHH😮",0
@faisalwidyanofmia1922,2025-03-27T18:58:32Z,siapa setuju bahas soal ruu tni?,0
@IlmyIlhamy,2025-03-27T18:57:53Z,Kesini om ajak panutan saya koh bobon.. masak di Tangerang pantai tanjung pasir. Yg warganya sedang terdampak pembangunan PIK 2 RASAKAN GMNA PEDIH NYA WARGA DISINI DENGAN ADA NYA PEMBANGUNAN PIK 2,0
@kevinrenandha,2025-03-27T18:56:51Z,🔥🔥🔥,0
@supriadilatief1784,2025-03-27T18:55:32Z,BEDA BICARANYA ..DIACONTEN LSAIN .LATANYA PERGI KETOILET DISINI KEMOBIL 🤣🤣🤣🤣🤣,0
@Albertciben12,2025-03-27T18:55:25Z,Sama2 konten kreator dan sama2 niat baik. <br>Jangan saling benci. <br>Karna kejadian kemarin biar di tanyakan ada aparat di situ. <br>Ya biar semua baik2,0
@musliadi4148,2025-03-27T18:54:55Z,willi salim siapa ?,0
@muhammadyasinabdullatif8908,2025-03-27T18:54:53Z,Pickme ih si willi,0
@琪琪-r9y,2025-03-27T18:51:10Z,"Gua setiap liat postingan WS ataupun konten WS, gua sering report. Karna gua memang beneran jijik bener, sumpah",0
@AsepPurnawan-e4w,2025-03-27T18:50:44Z,Yg goblok tuh udah tau di kibulin doang masih aja mo nontonin c wili salim,0
@EmaAndi-c1e,2025-03-27T18:50:31Z,Ditiktorr buzzer Willie luar biasa,0
@apiofficalgachalife3946,2025-03-27T18:49:28Z,Willie cerita ngawur...ngalor ngidul,0
@adhekurniawan2382,2025-03-27T18:48:53Z,Kondisikan mimik muka kalian host dan bintang tamu... Wajah kalian tidak bisa menyembunyikan jeritan hati kalian... Apakah setelah podcase berahir kalian berteriak..? Bhahahahhahahahahahahhahhahahahahahhahhahhahahhahaha,0
@layartancep21,2025-03-27T18:45:39Z,Lah ini gmn dh?kontennya jd banting stir gtu?dr yg bagi bagi duit dan bagi bagi hp jd masak masak.knp jd beda konsep?,0
@sbputra,2025-03-27T18:44:37Z,Kalian tau gak orang yang bohong biasanya ngomongnya mbulet&quot; gak jelas..dasar bocah&quot;😂😂😂😂,0
@yudiwahyudi5429,2025-03-27T18:42:59Z,"Emang willie salim siapa sih woy,  jujur gw gk tau dia",0
@permataputra0017,2025-03-27T18:41:44Z,"Bang bobon kena pukul omongan wili,dan wili santai bgt  dan tertib jawabnya. Bang Dedy juda berusaha nyudutin malah kalah sama wili👍🏻<br><br>Podcast ini juara nya wili salim. Meski saya jujur gak suka banget sama wili salim",0
@dwiwahyu7977,2025-03-27T18:41:40Z,"Kenyataannya makanan yg  dibuat WS dijarah habis, knp malah dia disalahin dan dihakimi? Setidaknya hargai niat baiknya berbagi",0
@ridwansastra7879,2025-03-27T18:41:21Z,Hidup lu penuh setingan wil,0
@nahrulrul1622,2025-03-27T18:41:20Z,Benar si ni soal nya Willy baik di depan kemera doang,0
@AchmadHasyim-qm2pk,2025-03-27T18:40:22Z,"penjelasan wili muter2,,, diajak podcast gadateng,, kan aneh wkwkw",0
@jei1766,2025-03-27T18:40:17Z,DARI DULU JUGA GA SUKA SAMA WILI SALMON KELIATAN BANGET BOCAH KONTENNYA,0
@EmaAndi-c1e,2025-03-27T18:39:43Z,Ngaurrr c Williee 😂,0
@kasihpaham754,2025-03-27T18:38:24Z,Aku di pihak bobon 😎😎😎,0
@hendraismaya6644,2025-03-27T18:38:14Z,Unfollow willie salim. Konten dia gak bermanfaat. Di berbagai somednya.,0
@zaaranursyafachannel2928,2025-03-27T18:35:11Z,"pesan penting perlu digaris bawahi kepikiran omongannya Om Bobon tadi hati2 bisa aja ad orang yg berbuat jahattt ke konten Om Bobon,🙏",0
@nizarazmi3413,2025-03-27T18:35:11Z,Udahlah kesatu dia bocil kedua kaya nya dia di setir ibunya😅,1
@ismailkurniawan4501,2025-03-27T18:35:07Z,"&quot;Willy ada ngomong spontan, tapi ada story nya kok&quot;<br><br>Spontan kok ada story nya ??",0
@crainbow3563,2025-03-27T18:34:03Z,"belum pernah denger nama Willie Salim sampe ada kasus ini, dan ternyata subscriber nya sekian puluh juta orang wow, tapi memang begitulah yg laku/banyak follower di indo itu begitulah",0
@hywid,2025-03-27T18:34:00Z,Cancel aja ga sih,0
@ridwansastra7879,2025-03-27T18:33:19Z,Keren lu bon,0
@bayusaputra-eq2xw,2025-03-27T18:31:38Z,Udah sih wil ruwed denger nya gitu gitu doang ngmng nya,1
@rulzz7373,2025-03-27T18:27:34Z,malah ngedongeng ajg si Willie,0
@AfifTrofianto-n5y,2025-03-27T18:26:16Z,Banyak alasan dia ga mau dateng🤣🤣🤣,0
@AfifTrofianto-n5y,2025-03-27T18:24:57Z,Rendang ilang gimmick wkwkwk masih aja ada yang percaya sama wilie salim🤣🤣🤣🤣🤣,0
@dhanyfakhri3040,2025-03-27T18:23:15Z,Muter&quot;😂,0
@andrijagatraya,2025-03-27T18:21:16Z,Gua setujuh sama Willy kernah dia membantu orang tapi hanya orang tertentu saja mengapa orang yang sukses gak mau bantu sesama warga nya giliran ada masalah seperti ini di besar besar kan cari pansos lebay,0
@titit-h8m,2025-03-27T18:20:57Z,"Bacot lu Willy, klau niat baik tidak usah berbohong dengan omongan mu..<br>Kucing dalam karung lu",0
@DadanPurnama-fy2ki,2025-03-27T18:20:33Z,"setelah d amati dari bicaranya, ini si wili orang munafik",0
@Aprillian29,2025-03-27T18:17:08Z,Haduh WS WS (Wili Sinting) kaga ada kapok kapoknya lu,0
@MonkeyDluffy-rd1qk,2025-03-27T18:16:57Z,Sama halnya dengan bang Dedy saya pribadi pun ngak suka Willie Salim karena kontennya yang selalu berbau uang,0
@bagasardiansyah142,2025-03-27T18:16:15Z,"orang aceh tidak boleh tinggi dari jawa orang jawa tidak boleh menganggap lebih tinggi dari papua ,kulit putih tidak lebih indah dari kulit hitam semua itu kesetaraan manusia",2
@Ninardelyn,2025-03-27T18:16:03Z,"Willi gemini , manipulatif :wkwk",0
@dwisutrisno9871,2025-03-27T18:15:51Z,"Sepertinya Willi pengin nyaingi bang bobon dalam masak skala besar, tapi belum ada keahlian, karna kita semua pasti tau lh Wili ingin ngalahin Mr beast mungkin juga ingin ngalahin bang bobon",0
@elfatihzaynmarcel-hx7zh,2025-03-27T18:13:15Z,"kebelet , mau ke toilet , toilet jauh , seharian belum makan , makan, istirahat , di mobil 😅 , org kebelet tiba tiba makan 😂",0
@ivanfadillah2857,2025-03-27T18:12:40Z,Jawaban si Willie bla&#39;a ble&#39;e bikin ko bobon sama om ded jengkel buat ngedengerin 😅😅,0
@fojokndeso,2025-03-27T18:11:48Z,Pasal 433 UU 1/2023 pencemaran nama baik <br><br>AYO KITO WARGO PALEMBANG KITO BAWAK KERANA HUKUM KASOS IKAK.<br><br>         Dari dulu budak itu muat konten setinggan tu. mak ini allah bukak ke mato kito lewat kasos di palembang.<br>  Permintaan maaf gak cukup harus di bawak ke rana hukum.,0
@ahmadiman9733,2025-03-27T18:10:46Z,"Ngomong straight to the point woy, bukan ngomong itu ini, jawab pertanyaan. Ini di ceritain semua yang ga perlu",0
@saliminfh4075,2025-03-27T18:10:43Z,"Kemaren nangis TTKnya di blok, emang pantes si WS kalo di Block,banyak setingan,kebanyakan dusta dan merugikan orang lain..",0
@nadyanurfahzairmalapitalok7615,2025-03-27T18:09:25Z,bobon adalah dosen yang sudah punya banyak pengalaman dan ilmu dibidang permasakan besar sedangkan willi adalah bocah SD yang baru belajar 😂<br>jadi kelasnya udah beda yaa gengs,2
@Bagus-g2t,2025-03-27T18:08:53Z,Ga bakal di penjara wili salim orang beduit dia lama kelamaan jg beritanya ilang udah ketebak ujungnya ini mah krna orang berduit dia,0
@cewekindonesia4076,2025-03-27T18:08:51Z,Ngumpul sini yg gk suka wili salim☝,1
@smartchild408,2025-03-27T18:08:28Z,Namanya juga WIL LIE . Ga heran makanya,0
@bagasardiansyah142,2025-03-27T18:08:19Z,eh dedy etnis elo dibantai di perkosa saat era orde baru eh malu elo dukung RUU TNI dedy buzzer makannya nama elo dedy cahyadi nama jawa biar aman elo hidup aja beruntung,1
@GeorgeAngga-p4v,2025-03-27T18:08:16Z,"Jawaban bocah waktu di tanya cari WC, WCnya Jauh/gak dapat WC terus ke mobil jadinya. EMG loe boker ke mobil.! Wkwkwk<br>Ngakak Jawaban BOCAH OTAKNYA KOSONG/Kompong di tanya ape jawabannye ape gak nyambung.",0
@auliafa98,2025-03-27T18:06:35Z,Gemeter suara willi,0
@bagasardiansyah142,2025-03-27T18:05:47Z,welcome back ORDE BARU PRAT 2,0
@hyu03i47,2025-03-27T18:04:46Z,Asumantra Graggas 🤣🤣,0
@aziznugraha2968,2025-03-27T18:04:11Z,Emng bahasanya tutur katanya emng sok ini anak ma yg lebuh tua aja gw2 bgimingnya pas jelasin.....<br>Terus ngalir ngidul,0
@MRFourr4,2025-03-27T18:03:56Z,jaka sembung bawa golok,1
@aguspanca-o8w,2025-03-27T18:03:49Z,wily kebanyakan makan cendol,0
@hendrydunant3024,2025-03-27T18:03:28Z,Justru dsini nih bang bobon naik drajatnya 😂<br>Bang bobon we need you<br>please make a cooking show in baturaja 🎉👋🏻💪🏻,0
@susuka223,2025-03-27T18:01:56Z,BABON IS THE BEST,0
@saproject9363,2025-03-27T18:01:03Z,"<a href=""https://www.youtube.com/watch?v=ygcodv_xrUE&amp;t=1000"">16:40</a> muka om ded dan bobon kayak pengen banget nonjok si willie",0
@Pemancinglamongan1494,2025-03-27T18:00:12Z,Willy salim out dari Indonesia,0
@AntonJauhari-m7w,2025-03-27T17:59:40Z,Jaoooo niaaannnn dari rendang ke motor anjayyyyyy hahahahaha,0
@Pepek89-f6l,2025-03-27T17:57:46Z,Mampus kau willie salim.konten mu setingan mulu.lo kaya sekarang tp klu udah waktunya lama2 kau jadi gembel juga😂😂😂,0
@AkunFizo-y6q,2025-03-27T17:57:26Z,Willie? Dr dulu juga gapernah suka Ama tu orang,0
@cimahimaju1502,2025-03-27T17:56:57Z,Fix tuch orang trbiasa BOHONG alias TIPU-TIPU !!😡,0
@FrangkySinaga-h3g,2025-03-27T17:55:47Z,"Hadir mas Dedy computer,itu konten WS bner setingan masa ada polisi nggak di tertibkan,pdhal ada masyarakat demo ribuan aja bisa di tertibkan lah itu cuma satu kelurahan paling rame ga bisa di tertibkan,",0
@fikriyasir6383,2025-03-27T17:55:07Z,"ambisi dia dari dulu terkenal tidak peduli di sukai atau tidak , dari dulu saya pribadi tidak suka WS",0
@arxy-x3x,2025-03-27T17:53:47Z,Buat masalah aja si Willy Salim pansos kyk nya😅,0
@AnggaWijaya-c4o,2025-03-27T17:53:39Z,Lah.kan konten wilisalim baiknya cuma setingan.jadi udah wajar dia.skrng terpuruk.semusnya konten dia bohongan,1
@FrangkySinaga-h3g,2025-03-27T17:53:11Z,Org yg percaya dg konten Ws doa itu bocah klo nggak bocah ya bapak² ibu² yg lahir di zaman kolonial baru sehari dua hari main medsos😅,0
@chelziayemimainditofredela4760,2025-03-27T17:52:27Z,Hati nuraniku berkata Willy Salim tdk bersalah,0
@aleshamusic24,2025-03-27T17:52:17Z,Gw Dukung Mas Bobon🎉🎉🎉🎉,0
@miftakhurrozaq1233,2025-03-27T17:52:15Z,"Dari kebelet dan ga nemu toilet, malah ke mobil buat makan dan istirahat 😂<br>Memang hebat lah🔥",1
@MuhammadRehan-o9s,2025-03-27T17:51:09Z,Wili berisik pas telponan sama bobon ketauan bngt bohong nya,0
@aleshamusic24,2025-03-27T17:50:26Z,Willy Kalau Ngomong Malang Megong😂,0
@mudielyou,2025-03-27T17:49:57Z,"bobon bikin konten masak utamain untuk berbagi, willi konten masak buat viewer atau buat pribadinya",0
@aleshamusic24,2025-03-27T17:48:05Z,Will Willy Jann😂,0
@bandari1239,2025-03-27T17:46:33Z,Siapa di sini yg pernah maen selot,0
@susuka223,2025-03-27T17:46:00Z,Anak buat WS BACA DI SINI ASU,1
@mudielyou,2025-03-27T17:45:34Z,abis dah kuota gw dengerin willy dongeng😂,1
@nitya1857,2025-03-27T17:45:16Z,"Tapi bener sih yg diomongin bobon, masak besar tuu beda sama msk yg cuma buat 2-3org,apa lagi msk besar dgn dikrumunin masyrkat bnyak kek gitu,keamanan hrus no1 kyak kata bobon ada yg jahat tabur racun selesai,.jd gk bisa asal&quot;an",0
@fendy.lakist9656,2025-03-27T17:44:34Z,Jjur aja w g suka sma willi kampret krna apa g mnghargai org...udh si willi ngikutin konten bobon.,0
@MKHOIRUDIN18,2025-03-27T17:44:23Z,The Goblogkers nda ada lawan 😎,0
@alfanfuliman5730,2025-03-27T17:43:49Z,Gw denger omongan ws ngarang ngidul kok gw kesel ya denger dia ngmg,0
@channelkisahmisteri,2025-03-27T17:43:36Z,Yang lebih jelaskan tanyakan lagi ke pak polisi yang jagaain dan tim wili salim nya,0
@anthonywijaya2640,2025-03-27T17:43:22Z,Kita Sesama Manusia Tdk Perlu Saling Menghakimi..Siapa Yg Benar Baik dan Jahat Ingat ada MAHA KUASA 🙏,0
@hendrakhanidya7035,2025-03-27T17:42:57Z,Jauh bang bobon rajanya ihklas no setting real ..dari setiap video  papua trus sedih ..masih ada kaya manusia kaya bang bobon...semangat bang bobon ❤ ...zee depok,0
@mudielyou,2025-03-27T17:42:37Z,langsung aja cerita mulai pas dimasak itu rendang kocak😂,0
@HsNet-u8h,2025-03-27T17:42:24Z,Ciri ciri berbohong itu yg di tanya apa jawabnya panjang sebab dia sambil ngarang cerita.harusnya jawabpan 1 menit bisa 10 menit,0
@mudielyou,2025-03-27T17:42:07Z,malah cerita si willy😂,0
@qonitaaziz-m4e,2025-03-27T17:41:47Z,Baguslah g datang. Brarti clear. Ciduk aje. Bocah g bener tu.,0
@AlviSyukri-l2d,2025-03-27T17:37:00Z,Kalau dapat konten2 yg ngk asli jngan di ksih duit lh.,0
@elgikencana4349,2025-03-27T17:36:38Z,wow,0
@Odettha1093,2025-03-27T17:36:18Z,Willi bilang nyari toilet ga ktemu 😂😂 maaf will di dekat mobil mu parkir itu toilet will 😂 kok masih mau bohong ya😮,1
@rafiputrasetiawan2660,2025-03-27T17:35:25Z,Setingan bang...,0
@bettababangbali8758,2025-03-27T17:33:25Z,etitide lu jelek will..,0
@RahmatHidayat-lv3kx,2025-03-27T17:33:14Z,Di menit 29.57 WS keceletot bilang skenario...bener gak sih...atau kuping saya yang bermasalah...,0
@irfanevanvol3304,2025-03-27T17:32:35Z,om ded di kibuli 😂,0
@pedroalfredo2148,2025-03-27T17:31:36Z,Terlalu bertele tele jelasin nya. Boong nya udh disusun rapih anjay 😂,0
@ilhamnurali1739,2025-03-27T17:28:04Z,"kalian pasti gk percaya sama gw... <br>ini konten tuh pesanan pemerintah, tujuannya buat apa? ya loe tau lah",0
@WAHYUDISAPUTRA-zm4dl,2025-03-27T17:27:48Z,Oom Bobon ke Palembang yah kami sambut 🎉,0
@shorts0815,2025-03-27T17:27:46Z,Hati hati dengan hati Masyarakat,0
@bagasardiansyah142,2025-03-27T17:27:42Z,sebenarnya suh bobo itu takut tersaingi oleh Willy salim yang mengikuti kontennya padahal niatnya baik  walaupun masak besar juga itu ngga sesering dan bobon Santoso memanfaatkan situasi masalah di Palembang kalau emang dipandang dengan dasar atas kebencian atau tidak ketidak sukaaan ya tetap tidak akan bisa merubahnya 😅,1
@obyrx-kingc-kings572,2025-03-27T17:27:38Z,"di laporin ke polisi, di dalam konten yg berjaga ada polisi...<br><br>kira2 bakal profesional tidak yaa polisi,...",0
@RitoGiono,2025-03-27T17:27:38Z,winrate terbesar 98% dijamin kemenangan di VICTORY88,0
@shorts0815,2025-03-27T17:27:15Z,"Pengalih Isu, RUU TNI coba dok kritik om dedy Penjelasan biar apa ada itu RUU TNI diadakan,Bahas dong",0
@iqwalqusyary0994,2025-03-27T17:27:08Z,Logika nya emang gada tim nya Willie yang di tempat atau polisi yg di tempat untuk berjaga dan tetep masak di tempat kan yg ke mobil cuma Willie nya doang aneh dah anjir ini drama nya 😂😂 jadiin FTV nii judul nya &quot;DAGING RENDANG KU DI GONDOL MALING&quot; 😂😂😂,1
@penghobikicau_,2025-03-27T17:27:00Z,Yg gak percaya willi👇,0
@Kenzy22,2025-03-27T17:25:43Z,Masyaallah koko Bobon hati Mu sangat mulia ko bobon ❤ is the beast kOko,2
@RajaArabLoll,2025-03-27T17:25:36Z,Tahan tawa,0
@infosaburaijua,2025-03-27T17:25:30Z,Squidward 😅,0
@byprda,2025-03-27T17:24:44Z,"Jujur, saya juga tdk pernah Respect dg konten2 seperti miliknya WS 😂 Terkesan Sombong dan meremehkan.",0
@dianasuyani7133,2025-03-27T17:24:44Z,"Jd sebenernya beneran ilang diambilin rakyat palembang secara brutal tw mmg sbnrnya dibagiin lngsung si sm willy, ga jls ah",0
@denjaka6753,2025-03-27T17:23:42Z,"Ingett, yg di palembang!!!!!!!!!",0
@ryanndhadhiepermana5655,2025-03-27T17:23:15Z,"Typical manipulatif yah si Willy.. terlihat dari alasan nya, yg di tanya apa jawab nya apa .  Terus banyak bgt alasan nya. Bilang bersedia mau ketemu, itu di undang bareng di podcast nya om ded gk datang. 😂",0
@thomizhueofficial1826,2025-03-27T17:22:55Z,"Logika. Pembagian sembako aja kalo tanpa persiapan, pengawalan, dan pengawasan, itu pun beresiko adanya keributan karna ini berhubungan dengan orang banyak yg mana satu aja ada yg mulai provokasi yg lain akan ikutan",1
@Dailyalvi,2025-03-27T17:21:32Z,Willy salim gajelas. Penjarain jg gapapa dah kata gua mah .,0
@rullmv6756,2025-03-27T17:21:26Z,"<a href=""https://www.youtube.com/watch?v=ygcodv_xrUE&amp;t=2050"">34:10</a> will, ketaun banget klo ku settingan, ngomong aja ngalor ngidul!!!. Yg di bahas di palembang malah ke semarang😅",0
@aruls7384,2025-03-27T17:21:25Z,"Karna adanya konten rendang willysalim orang jawa juga kena om ded, katanya ada yang bilang klo yang ngambil orang rantau jawa,",0
@deryrusmana4786,2025-03-27T17:21:10Z,Om dedi jangan jadi kompor harusnya jadi peredam masalah bukan malah Manas&quot; sin orang..,1
@NoteStorm,2025-03-27T17:20:46Z,Gw ga pernah suka WS dari dulu. Banyak settingan demi cuan. Masyarakat banyak dibohongin sama dia,0
@dimastamada9860,2025-03-27T17:20:27Z,W bobon,0
@Hi_wahid,2025-03-27T17:18:49Z,setingan,0
@short-story-r7k,2025-03-27T17:18:31Z,Udah unsub chanel willi?,1
@aswincover6998,2025-03-27T17:17:07Z,Gapernah liat Willie Salim di tiktod😂,0
@DuemSipit,2025-03-27T17:16:42Z,Gua suport bang bobon santoso apa yang harus di buat konten itu bukan hanya sekedar tontonan tapi harus butuh etika dan adab sehat terus bang bobon,0
@hijrahchannel948,2025-03-27T17:15:25Z,Willy ngomong nya kayak sambil gemeteran sampe keluar keringet dingin 😂,0
@Suportertimnas02,2025-03-27T17:15:07Z,Saya gak pernah nonton tiktok atau YT Willie Salim karna terlalu lebay dan settingan,0
@yono3555,2025-03-27T17:14:28Z,Biar bagaimanapun pekerjaan dia.,0
@hariyunal5898,2025-03-27T17:12:42Z,Lu berdua jauh kalah sama willy makanya g suka dia..hati itu dibersihin biar g ad rasa iri dengki.,0
@puji.9,2025-03-27T17:12:35Z,Tim 🐂 ?,0
@rinduchanel5570,2025-03-27T17:11:50Z,awalnya ke toilet terus berak di mobil terus kabur.😂,0
@ISAIFISHING,2025-03-27T17:11:31Z,Gak pernah nonton nya lebih dari 1 menit... Bobon santoso tetap menjadi the best,0
@fadil0753,2025-03-27T17:11:27Z,setingan setingan setingan,0
@ferisnugraha5354,2025-03-27T17:11:17Z,Ngomong muter muter. Makin yakin settingan dan gimmick,0
@TEMPEDAGING,2025-03-27T17:11:09Z,"Bobon dan willi siapa sih ya ? Maaf, saya gk update...🙏😅",0
@aandialova6440,2025-03-27T17:09:05Z,Om ded maaf klo sya kasar tpi willi ini  memang bajingan,0
@Rifatsyauqi5,2025-03-27T17:08:32Z,Lebih salut sama orang yang ikhlas lahir batin ketimbang pandai menyeting sesuatu demi fyp,0
@RivansaputraRivansaputra,2025-03-27T17:08:20Z,ngomong apa si wil<br>gua jujur kaga paham sumpah,0
@Test.tv.tester,2025-03-27T17:08:16Z,"Toilet itu deket bkb , lu tinggal pilih toilet mobil ada, toilet dkt museum ada, toilet di musi river side ada , kfc dermaga bkb ada",0
@Ahrubyjane,2025-03-27T17:07:20Z,Suaranya Willie kyk gemetaran gak sih?😂,1
@PersatuanRoninSamurai,2025-03-27T17:06:26Z,DARI DULU SUKA BANGET SAMA BANG BOBON SANTOSO KETIKA MASAK BESAR DIPAPUA... BANG BOBON LEBIH IKHLAS SEMOGA KEBAIKAN BANG BOBON SANTOSO ALLAH BALAS KEBAIKANYA DENGAN KEBERKAHAN AAMIIN,2
@FARIDAKusnaeni,2025-03-27T17:06:08Z,jelasin muter muter kek bocah ingusan 😂 pengen banget ludahin,0
@Messi2015-zy3it,2025-03-27T17:05:41Z,"Saya fans bobon. Trimakasih bobon atas tontonan slama ini,sya Tdk mampu sperti anda Tpi sya senang dgn melihat konten konten anda",1
@Kaoskaki19,2025-03-27T17:04:35Z,Lagian aneh ke toilet 5 menit wkwkkw<br>Woy toilet BKB tuh jauh 5 menit geh mana nyampe 😅,0
@BOGHELLPutra16,2025-03-27T17:04:01Z,"Willy ngomong nya kaya panik, dan ngomong nya dia Bagas apa keluar apa,... Willy mulai panik ngomong nya",0
@editea123editea12,2025-03-27T17:03:55Z,Saya suka bobon sebelum mualaf saya sangat berharap dia mualaf dan akhirnya Allah swt kasih hidayah...tambah like bobon lanjutkan berbagi2 mu semoga jadi pahala buat bekal d akhirat,0
@belanabila1142,2025-03-27T17:03:36Z,Gengsi amat bilang terinspirasi dari ko bobon🤢 Ws gila konten🤮,0
@Arfannn-o9f,2025-03-27T17:03:01Z,pertanyaan bobon yg terakhir keliatan bnr busuk hati nya. pertanyaan yg gak perlu lo tanya itu bon2 hak dialah duit2 dia. mw bikin konten masak besar kek apa kek mw terinspirasi dari lo kek apa kek intinya itu hak dia gak perlu lo tanya goblokkk,1
@LeosanLombokNTB22,2025-03-27T17:01:37Z,"mutar muter omongannya si willi, ngaco anak itu, intinya dari statment nya gak jelas.",0
@Pelangton_TV,2025-03-27T17:01:10Z,Willy ❤ you,0
@caturguntoro9980,2025-03-27T17:00:56Z,"Tuh Will,dengerin kata Bobon..<br>Tengil si lo😂😂😂",0
@Agrippila,2025-03-27T17:00:35Z,"2 2 sm² cindo. Cm yg 1 apa adny. Yg 1 lg suka ngarang, dan berbakat buat jadi tuti 🤣",0
@FARHANSSSTUUUU,2025-03-27T16:59:52Z,"Indonesia menuju mental pangemis, with wili salim 😂",0
@암므므치크,2025-03-27T16:58:59Z,Kenapa sih ibu ibu sekarang hobinya curhat Mulu 😒,0
@Kingking_BF,2025-03-27T16:58:49Z,Makin ketahuan mencari alasan dan alibi.. dan anehnya..gagal dipalembang..malah bikin acara masak lg di tmp lain..yang seolah2 mau adu domba bahwa di tempat lain bisa tertib,0
@GitaDarmayanti-i4d,2025-03-27T16:57:46Z,Tolong bahas tentang Indonesia.. Tentang perampasan aset.. Tentang uud perampasan aset masyarakat.. Kuropsi sudah main terliun tapi gk pernah di bahas... Lebih baik untuk Indonesia bang dedi,0
@hanioppo4831,2025-03-27T16:57:45Z,"Penjelasan Willie terlalu belibet, kek muter muter disana aja😮😅",0
@AnnaRusmiana,2025-03-27T16:57:39Z,Bang Willy bilang sedih kn apalagi kami orang Palembang yang ngak datang dan ngak tau apa2 ikut di cap jelek oleh netizen kami lebih sedih lagi,0
@AbidahBidah-l2o,2025-03-27T16:56:29Z,Om ded sama ko bobon udah serius ternyata si Will sebercanda itu,0
